,tokens,Sentiment
233,"[u'Great', u'place', u'to', u'have', u'a', u'couple', u'drinks', u'and', u'watch', u'any', u'and', u'all', u'sporting', u'events', u'as', u'the', u'walls', u'are', u'covered', u'with', u'TV', u's']",1
234,"[u'If', u'it', u'were', u'possible', u'to', u'give', u'them', u'zero', u'stars', u'they', u'd', u'have', u'it']",0
235,"[u'The', u'descriptions', u'said', u'yum', u'yum', u'sauce', u'and', u'another', u'said', u'eel', u'sauce', u'yet', u'another', u'said', u'spicy', u'mayo', u'well', u'NONE', u'of', u'the', u'rolls', u'had', u'sauces', u'on', u'them']",0
236,"[u'I', u'd', u'say', u'that', u'would', u'be', u'the', u'hardest', u'decision', u'Honestly', u'all', u'of', u'M', u's', u'dishes', u'taste', u'how', u'they', u'are', u'supposed', u'to', u'taste', u'amazing']",1
237,"[u'If', u'she', u'had', u'not', u'rolled', u'the', u'eyes', u'we', u'may', u'have', u'stayed', u'Not', u'sure', u'if', u'we', u'will', u'go', u'back', u'and', u'try', u'it', u'again']",0
238,"[u'Everyone', u'is', u'very', u'attentive', u'providing', u'excellent', u'customer', u'service']",1
239,"[u'Horrible', u'don', u't', u'waste', u'your', u'time', u'and', u'money']",0
240,"[u'Now', u'this', u'dish', u'was', u'quite', u'flavourful']",1
241,"[u'By', u'this', u'time', u'our', u'side', u'of', u'the', u'restaurant', u'was', u'almost', u'empty', u'so', u'there', u'was', u'no', u'excuse']",0
242,"[u'It', u'wasn', u't', u'busy', u'either', u'Also', u'the', u'building', u'was', u'FREEZING', u'cold']",0
243,"[u'like', u'the', u'other', u'reviewer', u'said', u'you', u'couldn', u't', u'pay', u'me', u'to', u'eat', u'at', u'this', u'place', u'again']",0
244,"[u'Drinks', u'took', u'close', u'to', u'30', u'minutes', u'to', u'come', u'out', u'at', u'one', u'point']",0
245,"[u'Seriously', u'flavorful', u'delights', u'folks']",1
246,"[u'Much', u'better', u'than', u'the', u'other', u'AYCE', u'sushi', u'place', u'I', u'went', u'to', u'in', u'Vegas']",1
247,"[u'The', u'lighting', u'is', u'just', u'dark', u'enough', u'to', u'set', u'the', u'mood']",1
248,"[u'Based', u'on', u'the', u'sub', u'par', u'service', u'I', u'received', u'and', u'no', u'effort', u'to', u'show', u'their', u'gratitude', u'for', u'my', u'business', u'I', u'won', u't', u'be', u'going', u'back']",0
249,"[u'Owner', u's', u'are', u'really', u'great', u'people']",1
250,"[u'There', u'is', u'nothing', u'privileged', u'about', u'working', u'eating', u'there']",0
251,"[u'The', u'Greek', u'dressing', u'was', u'very', u'creamy', u'and', u'flavorful']",1
252,"[u'Overall', u'I', u'don', u't', u'think', u'that', u'I', u'would', u'take', u'my', u'parents', u'to', u'this', u'place', u'again', u'because', u'they', u'made', u'most', u'of', u'the', u'similar', u'complaints', u'that', u'I', u'silently', u'felt', u'too']",0
253,"[u'Now', u'the', u'pizza', u'itself', u'was', u'good', u'the', u'peanut', u'sauce', u'was', u'very', u'tasty']",1
254,"[u'We', u'had', u'7', u'at', u'our', u'table', u'and', u'the', u'service', u'was', u'pretty', u'fast']",1
255,"[u'Fantastic', u'service', u'here']",1
256,"[u'I', u'as', u'well', u'would', u've', u'given', u'godfathers', u'zero', u'stars', u'if', u'possible']",0
257,"[u'They', u'know', u'how', u'to', u'make', u'them', u'here']",1
258,"[u'very', u'tough', u'and', u'very', u'short', u'on', u'flavor']",0
259,"[u'I', u'hope', u'this', u'place', u'sticks', u'around']",1
260,"[u'I', u'have', u'been', u'in', u'more', u'than', u'a', u'few', u'bars', u'in', u'Vegas', u'and', u'do', u'not', u'ever', u'recall', u'being', u'charged', u'for', u'tap', u'water']",0
261,"[u'The', u'restaurant', u'atmosphere', u'was', u'exquisite']",1
262,"[u'Good', u'service', u'very', u'clean', u'and', u'inexpensive', u'to', u'boot']",1
263,"[u'The', u'seafood', u'was', u'fresh', u'and', u'generous', u'in', u'portion']",1
264,"[u'Plus', u'it', u's', u'only', u'8', u'bucks']",1
265,"[u'The', u'service', u'was', u'not', u'up', u'to', u'par', u'either']",0
266,"[u'Thus', u'far', u'have', u'only', u'visited', u'twice', u'and', u'the', u'food', u'was', u'absolutely', u'delicious', u'each', u'time']",1
267,"[u'Just', u'as', u'good', u'as', u'when', u'I', u'had', u'it', u'more', u'than', u'a', u'year', u'ago']",1
268,"[u'For', u'a', u'self', u'proclaimed', u'coffee', u'cafe', u'I', u'was', u'wildly', u'disappointed']",0
269,"[u'The', u'Veggitarian', u'platter', u'is', u'out', u'of', u'this', u'world']",1
270,"[u'You', u'cant', u'go', u'wrong', u'with', u'any', u'of', u'the', u'food', u'here']",1
271,"[u'You', u'can', u't', u'beat', u'that']",1
272,"[u'Stopped', u'by', u'this', u'place', u'while', u'in', u'Madison', u'for', u'the', u'Ironman', u'very', u'friendly', u'kind', u'staff']",1
273,"[u'The', u'chefs', u'were', u'friendly', u'and', u'did', u'a', u'good', u'job']",1
274,"[u'I', u've', u'had', u'better', u'not', u'only', u'from', u'dedicated', u'boba', u'tea', u'spots', u'but', u'even', u'from', u'Jenni', u'Pho']",0
275,"[u'I', u'liked', u'the', u'patio', u'and', u'the', u'service', u'was', u'outstanding']",1
276,"[u'The', u'goat', u'taco', u'didn', u't', u'skimp', u'on', u'the', u'meat', u'and', u'wow', u'what', u'FLAVOR']",1
277,"[u'I', u'think', u'not', u'again']",0
278,"[u'I', u'had', u'the', u'mac', u'salad', u'and', u'it', u'was', u'pretty', u'bland', u'so', u'I', u'will', u'not', u'be', u'getting', u'that', u'again']",0
279,"[u'I', u'went', u'to', u'Bachi', u'Burger', u'on', u'a', u'friend', u's', u'recommendation', u'and', u'was', u'not', u'disappointed']",1
280,"[u'Service', u'stinks', u'here']",0
281,"[u'I', u'waited', u'and', u'waited']",0
282,"[u'This', u'place', u'is', u'not', u'quality', u'sushi', u'it', u'is', u'not', u'a', u'quality', u'restaurant']",0
283,"[u'I', u'would', u'definitely', u'recommend', u'the', u'wings', u'as', u'well', u'as', u'the', u'pizza']",1
284,"[u'Great', u'Pizza', u'and', u'Salads']",1
285,"[u'Things', u'that', u'went', u'wrong', u'They', u'burned', u'the', u'saganaki']",0
286,"[u'We', u'waited', u'an', u'hour', u'for', u'what', u'was', u'a', u'breakfast', u'I', u'could', u'have', u'done', u'100', u'times', u'better', u'at', u'home']",0
287,"[u'This', u'place', u'is', u'amazing']",1
288,"[u'I', u'hate', u'to', u'disagree', u'with', u'my', u'fellow', u'Yelpers', u'but', u'my', u'husband', u'and', u'I', u'were', u'so', u'disappointed', u'with', u'this', u'place']",0
289,"[u'Waited', u'2', u'hours', u'never', u'got', u'either', u'of', u'our', u'pizzas', u'as', u'many', u'other', u'around', u'us', u'who', u'came', u'in', u'later', u'did']",0
290,"[u'Just', u'don', u't', u'know', u'why', u'they', u'were', u'so', u'slow']",0
291,"[u'The', u'staff', u'is', u'great', u'the', u'food', u'is', u'delish', u'and', u'they', u'have', u'an', u'incredible', u'beer', u'selection']",1
292,"[u'I', u'live', u'in', u'the', u'neighborhood', u'so', u'I', u'am', u'disappointed', u'I', u'won', u't', u'be', u'back', u'here', u'because', u'it', u'is', u'a', u'convenient', u'location']",0
293,"[u'I', u'didn', u't', u'know', u'pulled', u'pork', u'could', u'be', u'soooo', u'delicious']",1
294,"[u'You', u'get', u'incredibly', u'fresh', u'fish', u'prepared', u'with', u'care']",1
295,"[u'Before', u'I', u'go', u'in', u'to', u'why', u'I', u'gave', u'a', u'1', u'star', u'rating', u'please', u'know', u'that', u'this', u'was', u'my', u'third', u'time', u'eating', u'at', u'Bachi', u'burger', u'before', u'writing', u'a', u'review']",0
296,"[u'I', u'love', u'the', u'fact', u'that', u'everything', u'on', u'their', u'menu', u'is', u'worth', u'it']",1
297,"[u'Never', u'again', u'will', u'I', u'be', u'dining', u'at', u'this', u'place']",0
298,"[u'The', u'food', u'was', u'excellent', u'and', u'service', u'was', u'very', u'good']",1
299,"[u'Good', u'beer', u'drink', u'selection', u'and', u'good', u'food', u'selection']",1
300,"[u'Please', u'stay', u'away', u'from', u'the', u'shrimp', u'stir', u'fried', u'noodles']",0
301,"[u'The', u'potato', u'chip', u'order', u'was', u'sad', u'I', u'could', u'probably', u'count', u'how', u'many', u'chips', u'were', u'in', u'that', u'box', u'and', u'it', u'was', u'probably', u'around', u'12']",0
302,"[u'Food', u'was', u'really', u'boring']",0
303,"[u'Good', u'Service', u'check']",1
304,"[u'This', u'greedy', u'corporation', u'will', u'NEVER', u'see', u'another', u'dime', u'from', u'me']",0
305,"[u'Will', u'never', u'ever', u'go', u'back']",0
306,"[u'As', u'much', u'as', u'I', u'd', u'like', u'to', u'go', u'back', u'I', u'can', u't', u'get', u'passed', u'the', u'atrocious', u'service', u'and', u'will', u'never', u'return']",0
307,"[u'In', u'the', u'summer', u'you', u'can', u'dine', u'in', u'a', u'charming', u'outdoor', u'patio', u'so', u'very', u'delightful']",1
308,"[u'I', u'did', u'not', u'expect', u'this', u'to', u'be', u'so', u'good']",1
309,"[u'Fantastic', u'food']",1
310,"[u'She', u'ordered', u'a', u'toasted', u'English', u'muffin', u'that', u'came', u'out', u'untoasted']",0
311,"[u'The', u'food', u'was', u'very', u'good']",1
312,"[u'Never', u'going', u'back']",0
313,"[u'Great', u'food', u'for', u'the', u'price', u'which', u'is', u'very', u'high', u'quality', u'and', u'house', u'made']",1
314,"[u'The', u'bus', u'boy', u'on', u'the', u'other', u'hand', u'was', u'so', u'rude']",0
315,"[u'By', u'this', u'point', u'my', u'friends', u'and', u'I', u'had', u'basically', u'figured', u'out', u'this', u'place', u'was', u'a', u'joke', u'and', u'didn', u't', u'mind', u'making', u'it', u'publicly', u'and', u'loudly', u'known']",0
316,"[u'Back', u'to', u'good', u'BBQ', u'lighter', u'fare', u'reasonable', u'pricing', u'and', u'tell', u'the', u'public', u'they', u'are', u'back', u'to', u'the', u'old', u'ways']",1
317,"[u'And', u'considering', u'the', u'two', u'of', u'us', u'left', u'there', u'very', u'full', u'and', u'happy', u'for', u'about', u'20', u'you', u'just', u'can', u't', u'go', u'wrong']",1
318,"[u'All', u'the', u'bread', u'is', u'made', u'in', u'house']",1
319,"[u'The', u'only', u'downside', u'is', u'the', u'service']",0
320,"[u'Also', u'the', u'fries', u'are', u'without', u'a', u'doubt', u'the', u'worst', u'fries', u'I', u've', u'ever', u'had']",0
321,"[u'Service', u'was', u'exceptional', u'and', u'food', u'was', u'a', u'good', u'as', u'all', u'the', u'reviews']",1
322,"[u'A', u'couple', u'of', u'months', u'later', u'I', u'returned', u'and', u'had', u'an', u'amazing', u'meal']",1
323,"[u'Favorite', u'place', u'in', u'town', u'for', u'shawarrrrrrma']",1
324,"[u'The', u'black', u'eyed', u'peas', u'and', u'sweet', u'potatoes', u'UNREAL']",1
325,"[u'You', u'won', u't', u'be', u'disappointed']",1
326,"[u'They', u'could', u'serve', u'it', u'with', u'just', u'the', u'vinaigrette', u'and', u'it', u'may', u'make', u'for', u'a', u'better', u'overall', u'dish', u'but', u'it', u'was', u'still', u'very', u'good']",1
327,"[u'I', u'go', u'to', u'far', u'too', u'many', u'places', u'and', u'I', u've', u'never', u'seen', u'any', u'restaurant', u'that', u'serves', u'a', u'1', u'egg', u'breakfast', u'especially', u'for', u'4', u'00']",0
328,"[u'When', u'my', u'mom', u'and', u'I', u'got', u'home', u'she', u'immediately', u'got', u'sick', u'and', u'she', u'only', u'had', u'a', u'few', u'bites', u'of', u'salad']",0
329,"[u'The', u'servers', u'are', u'not', u'pleasant', u'to', u'deal', u'with', u'and', u'they', u'don', u't', u'always', u'honor', u'Pizza', u'Hut', u'coupons']",0
330,"[u'Both', u'of', u'them', u'were', u'truly', u'unbelievably', u'good', u'and', u'I', u'am', u'so', u'glad', u'we', u'went', u'back']",1
331,"[u'We', u'had', u'fantastic', u'service', u'and', u'were', u'pleased', u'by', u'the', u'atmosphere']",1
332,"[u'Everything', u'was', u'gross']",0
333,"[u'I', u'love', u'this', u'place']",1
334,"[u'Great', u'service', u'and', u'food']",1
335,"[u'First', u'the', u'bathrooms', u'at', u'this', u'location', u'were', u'dirty', u'Seat', u'covers', u'were', u'not', u'replenished', u'just', u'plain', u'yucky']",0
336,"[u'The', u'burger', u'I', u'got', u'the', u'Gold', u'Standard', u'a', u'17', u'burger', u'and', u'was', u'kind', u'of', u'disappointed']",0
337,"[u'OMG', u'the', u'food', u'was', u'delicioso']",1
338,"[u'There', u'is', u'nothing', u'authentic', u'about', u'this', u'place']",0
339,"[u'the', u'spaghetti', u'is', u'nothing', u'special', u'whatsoever']",0
340,"[u'Of', u'all', u'the', u'dishes', u'the', u'salmon', u'was', u'the', u'best', u'but', u'all', u'were', u'great']",1
341,"[u'The', u'vegetables', u'are', u'so', u'fresh', u'and', u'the', u'sauce', u'feels', u'like', u'authentic', u'Thai']",1
342,"[u'It', u's', u'worth', u'driving', u'up', u'from', u'Tucson']",1
343,"[u'The', u'selection', u'was', u'probably', u'the', u'worst', u'I', u've', u'seen', u'in', u'Vegas', u'there', u'was', u'none']",0
344,"[u'Pretty', u'good', u'beer', u'selection', u'too']",1
345,"[u'This', u'place', u'is', u'like', u'Chipotle', u'but', u'BETTER']",1
346,"[u'Classy', u'warm', u'atmosphere', u'fun', u'and', u'fresh', u'appetizers', u'succulent', u'steaks', u'Baseball', u'steak']",1
347,"[u'5', u'stars', u'for', u'the', u'brick', u'oven', u'bread', u'app']",1
348,"[u'I', u'have', u'eaten', u'here', u'multiple', u'times', u'and', u'each', u'time', u'the', u'food', u'was', u'delicious']",1
349,"[u'We', u'sat', u'another', u'ten', u'minutes', u'and', u'finally', u'gave', u'up', u'and', u'left']",0
350,"[u'He', u'was', u'terrible']",0
351,"[u'Everyone', u'is', u'treated', u'equally', u'special']",1
352,"[u'It', u'shouldn', u't', u'take', u'30', u'min', u'for', u'pancakes', u'and', u'eggs']",0
353,"[u'It', u'was', u'delicious']",1
354,"[u'On', u'the', u'good', u'side', u'the', u'staff', u'was', u'genuinely', u'pleasant', u'and', u'enthusiastic', u'a', u'real', u'treat']",1
355,"[u'Sadly', u'Gordon', u'Ramsey', u's', u'Steak', u'is', u'a', u'place', u'we', u'shall', u'sharply', u'avoid', u'during', u'our', u'next', u'trip', u'to', u'Vegas']",0
356,"[u'As', u'always', u'the', u'evening', u'was', u'wonderful', u'and', u'the', u'food', u'delicious']",1
357,"[u'Best', u'fish', u'I', u've', u'ever', u'had', u'in', u'my', u'life']",1
358,"[u'The', u'bathroom', u'is', u'just', u'next', u'door', u'and', u'very', u'nice']",1
359,"[u'The', u'buffet', u'is', u'small', u'and', u'all', u'the', u'food', u'they', u'offered', u'was', u'BLAND']",0
360,"[u'This', u'is', u'an', u'Outstanding', u'little', u'restaurant', u'with', u'some', u'of', u'the', u'Best', u'Food', u'I', u'have', u'ever', u'tasted']",1
361,"[u'Pretty', u'cool', u'I', u'would', u'say']",1
362,"[u'Definitely', u'a', u'turn', u'off', u'for', u'me', u'i', u'doubt', u'I', u'll', u'be', u'back', u'unless', u'someone', u'else', u'is', u'buying']",0
363,"[u'Server', u'did', u'a', u'great', u'job', u'handling', u'our', u'large', u'rowdy', u'table']",1
364,"[u'I', u'find', u'wasting', u'food', u'to', u'be', u'despicable', u'but', u'this', u'just', u'wasn', u't', u'food']",0
365,"[u'My', u'wife', u'had', u'the', u'Lobster', u'Bisque', u'soup', u'which', u'was', u'lukewarm']",0
366,"[u'Would', u'come', u'back', u'again', u'if', u'I', u'had', u'a', u'sushi', u'craving', u'while', u'in', u'Vegas']",1
367,"[u'The', u'staff', u'are', u'great', u'the', u'ambiance', u'is', u'great']",1
368,"[u'He', u'deserves', u'5', u'stars']",1
369,"[u'I', u'left', u'with', u'a', u'stomach', u'ache', u'and', u'felt', u'sick', u'the', u'rest', u'of', u'the', u'day']",0
370,"[u'They', u'dropped', u'more', u'than', u'the', u'ball']",0
371,"[u'The', u'dining', u'space', u'is', u'tiny', u'but', u'elegantly', u'decorated', u'and', u'comfortable']",1
372,"[u'They', u'will', u'customize', u'your', u'order', u'any', u'way', u'you', u'd', u'like', u'my', u'usual', u'is', u'Eggplant', u'with', u'Green', u'Bean', u'stir', u'fry', u'love', u'it']",1
373,"[u'And', u'the', u'beans', u'and', u'rice', u'were', u'mediocre', u'at', u'best']",0
374,"[u'Best', u'tacos', u'in', u'town', u'by', u'far']",1
375,"[u'I', u'took', u'back', u'my', u'money', u'and', u'got', u'outta', u'there']",0
376,"[u'In', u'an', u'interesting', u'part', u'of', u'town', u'this', u'place', u'is', u'amazing']",1
377,"[u'RUDE', u'INCONSIDERATE', u'MANAGEMENT']",0
378,"[u'The', u'staff', u'are', u'now', u'not', u'as', u'friendly', u'the', u'wait', u'times', u'for', u'being', u'served', u'are', u'horrible', u'no', u'one', u'even', u'says', u'hi', u'for', u'the', u'first', u'10', u'minutes']",0
379,"[u'I', u'won', u't', u'be', u'back']",0
380,"[u'They', u'have', u'great', u'dinners']",1
381,"[u'The', u'service', u'was', u'outshining', u'I', u'definitely', u'recommend', u'the', u'Halibut']",1
382,"[u'The', u'food', u'was', u'terrible']",0
383,"[u'WILL', u'NEVER', u'EVER', u'GO', u'BACK', u'AND', u'HAVE', u'TOLD', u'MANY', u'PEOPLE', u'WHAT', u'HAD', u'HAPPENED']",0
384,"[u'I', u'don', u't', u'recommend', u'unless', u'your', u'car', u'breaks', u'down', u'in', u'front', u'of', u'it', u'and', u'you', u'are', u'starving']",0
385,"[u'I', u'will', u'come', u'back', u'here', u'every', u'time', u'I', u'm', u'in', u'Vegas']",1
386,"[u'This', u'place', u'deserves', u'one', u'star', u'and', u'90', u'has', u'to', u'do', u'with', u'the', u'food']",0
387,"[u'This', u'is', u'a', u'disgrace']",0
388,"[u'Def', u'coming', u'back', u'to', u'bowl', u'next', u'time']",1
389,"[u'If', u'you', u'want', u'healthy', u'authentic', u'or', u'ethic', u'food', u'try', u'this', u'place']",1
390,"[u'I', u'will', u'continue', u'to', u'come', u'here', u'on', u'ladies', u'night', u'andddd', u'date', u'night', u'highly', u'recommend', u'this', u'place', u'to', u'anyone', u'who', u'is', u'in', u'the', u'area']",1
391,"[u'I', u'have', u'been', u'here', u'several', u'times', u'in', u'the', u'past', u'and', u'the', u'experience', u'has', u'always', u'been', u'great']",1
392,"[u'We', u'walked', u'away', u'stuffed', u'and', u'happy', u'about', u'our', u'first', u'Vegas', u'buffet', u'experience']",1
393,"[u'Service', u'was', u'excellent', u'and', u'prices', u'are', u'pretty', u'reasonable', u'considering', u'this', u'is', u'Vegas', u'and', u'located', u'inside', u'the', u'Crystals', u'shopping', u'mall', u'by', u'Aria']",1
394,"[u'To', u'summarize', u'the', u'food', u'was', u'incredible', u'nay', u'transcendant', u'but', u'nothing', u'brings', u'me', u'joy', u'quite', u'like', u'the', u'memory', u'of', u'the', u'pneumatic', u'condiment', u'dispenser']",1
395,"[u'I', u'm', u'probably', u'one', u'of', u'the', u'few', u'people', u'to', u'ever', u'go', u'to', u'Ians', u'and', u'not', u'like', u'it']",0
396,"[u'Kids', u'pizza', u'is', u'always', u'a', u'hit', u'too', u'with', u'lots', u'of', u'great', u'side', u'dish', u'options', u'for', u'the', u'kiddos']",1
397,"[u'Service', u'is', u'perfect', u'and', u'the', u'family', u'atmosphere', u'is', u'nice', u'to', u'see']",1
398,"[u'Cooked', u'to', u'perfection', u'and', u'the', u'service', u'was', u'impeccable']",1
399,"[u'This', u'one', u'is', u'simply', u'a', u'disappointment']",0
400,"[u'Overall', u'I', u'was', u'very', u'disappointed', u'with', u'the', u'quality', u'of', u'food', u'at', u'Bouchon']",0
401,"[u'I', u'don', u't', u'have', u'to', u'be', u'an', u'accountant', u'to', u'know', u'I', u'm', u'getting', u'screwed']",0
402,"[u'Great', u'place', u'to', u'eat', u'reminds', u'me', u'of', u'the', u'little', u'mom', u'and', u'pop', u'shops', u'in', u'the', u'San', u'Francisco', u'Bay', u'Area']",1
403,"[u'Today', u'was', u'my', u'first', u'taste', u'of', u'a', u'Buldogis', u'Gourmet', u'Hot', u'Dog', u'and', u'I', u'have', u'to', u'tell', u'you', u'it', u'was', u'more', u'than', u'I', u'ever', u'thought', u'possible']",1
404,"[u'Left', u'very', u'frustrated']",0
405,"[u'I', u'll', u'definitely', u'be', u'in', u'soon', u'again']",1
406,"[u'Food', u'was', u'really', u'good', u'and', u'I', u'got', u'full', u'petty', u'fast']",1
407,"[u'Service', u'was', u'fantastic']",1
408,"[u'TOTAL', u'WASTE', u'OF', u'TIME']",0
409,"[u'I', u'don', u't', u'know', u'what', u'kind', u'it', u'is', u'but', u'they', u'have', u'the', u'best', u'iced', u'tea']",1
410,"[u'Come', u'hungry', u'leave', u'happy', u'and', u'stuffed']",1
411,"[u'For', u'service', u'I', u'give', u'them', u'no', u'stars']",0
412,"[u'I', u'can', u'assure', u'you', u'that', u'you', u'won', u't', u'be', u'disappointed']",1
413,"[u'I', u'can', u'take', u'a', u'little', u'bad', u'service', u'but', u'the', u'food', u'sucks']",0
414,"[u'Gave', u'up', u'trying', u'to', u'eat', u'any', u'of', u'the', u'crust', u'teeth', u'still', u'sore']",0
415,"[u'But', u'now', u'I', u'was', u'completely', u'grossed', u'out']",0
416,"[u'I', u'really', u'enjoyed', u'eating', u'here']",1
417,"[u'First', u'time', u'going', u'but', u'I', u'think', u'I', u'will', u'quickly', u'become', u'a', u'regular']",1
418,"[u'Our', u'server', u'was', u'very', u'nice', u'and', u'even', u'though', u'he', u'looked', u'a', u'little', u'overwhelmed', u'with', u'all', u'of', u'our', u'needs', u'he', u'stayed', u'professional', u'and', u'friendly', u'until', u'the', u'end']",1
419,"[u'From', u'what', u'my', u'dinner', u'companions', u'told', u'me', u'everything', u'was', u'very', u'fresh', u'with', u'nice', u'texture', u'and', u'taste']",1
420,"[u'On', u'the', u'ground', u'right', u'next', u'to', u'our', u'table', u'was', u'a', u'large', u'smeared', u'been', u'stepped', u'in', u'and', u'tracked', u'everywhere', u'pile', u'of', u'green', u'bird', u'poop']",0
421,"[u'Furthermore', u'you', u'can', u't', u'even', u'find', u'hours', u'of', u'operation', u'on', u'the', u'website']",0
422,"[u'We', u've', u'tried', u'to', u'like', u'this', u'place', u'but', u'after', u'10', u'times', u'I', u'think', u'we', u're', u'done', u'with', u'them']",0
423,"[u'What', u'a', u'mistake', u'that', u'was']",0
424,"[u'No', u'complaints']",1
425,"[u'This', u'is', u'some', u'seriously', u'good', u'pizza', u'and', u'I', u'm', u'an', u'expert', u'connisseur', u'on', u'the', u'topic']",1
426,"[u'Waiter', u'was', u'a', u'jerk']",0
427,"[u'Strike', u'2', u'who', u'wants', u'to', u'be', u'rushed']",0
428,"[u'These', u'are', u'the', u'nicest', u'restaurant', u'owners', u'I', u've', u'ever', u'come', u'across']",1
429,"[u'I', u'never', u'come', u'again']",0
430,"[u'We', u'loved', u'the', u'biscuits']",1
431,"[u'Service', u'is', u'quick', u'and', u'friendly']",1
432,"[u'Ordered', u'an', u'appetizer', u'and', u'took', u'40', u'minutes', u'and', u'then', u'the', u'pizza', u'another', u'10', u'minutes']",0
433,"[u'So', u'absolutley', u'fantastic']",1
434,"[u'It', u'was', u'a', u'huge', u'awkward', u'1', u'5lb', u'piece', u'of', u'cow', u'that', u'was', u'3', u'4ths', u'gristle', u'and', u'fat']",0
435,"[u'definitely', u'will', u'come', u'back', u'here', u'again']",1
436,"[u'I', u'like', u'Steiners', u'because', u'it', u's', u'dark', u'and', u'it', u'feels', u'like', u'a', u'bar']",1
437,"[u'Wow', u'very', u'spicy', u'but', u'delicious']",1
438,"[u'If', u'you', u're', u'not', u'familiar', u'check', u'it', u'out']",1
439,"[u'I', u'll', u'take', u'my', u'business', u'dinner', u'dollars', u'elsewhere']",0
440,"[u'I', u'd', u'love', u'to', u'go', u'back']",1
441,"[u'Anyway', u'this', u'FS', u'restaurant', u'has', u'a', u'wonderful', u'breakfast', u'lunch']",1
442,"[u'Nothing', u'special']",0
443,"[u'Each', u'day', u'of', u'the', u'week', u'they', u'have', u'a', u'different', u'deal', u'and', u'it', u's', u'all', u'so', u'delicious']",1
444,"[u'Not', u'to', u'mention', u'the', u'combination', u'of', u'pears', u'almonds', u'and', u'bacon', u'is', u'a', u'big', u'winner']",1
445,"[u'Will', u'not', u'be', u'back']",0
446,"[u'Sauce', u'was', u'tasteless']",0
447,"[u'The', u'food', u'is', u'delicious', u'and', u'just', u'spicy', u'enough', u'so', u'be', u'sure', u'to', u'ask', u'for', u'spicier', u'if', u'you', u'prefer', u'it', u'that', u'way']",1
448,"[u'My', u'ribeye', u'steak', u'was', u'cooked', u'perfectly', u'and', u'had', u'great', u'mesquite', u'flavor']",1
449,"[u'I', u'don', u't', u'think', u'we', u'll', u'be', u'going', u'back', u'anytime', u'soon']",0
450,"[u'Food', u'was', u'so', u'gooodd']",1
451,"[u'I', u'am', u'far', u'from', u'a', u'sushi', u'connoisseur', u'but', u'I', u'can', u'definitely', u'tell', u'the', u'difference', u'between', u'good', u'food', u'and', u'bad', u'food', u'and', u'this', u'was', u'certainly', u'bad', u'food']",0
452,"[u'I', u'was', u'so', u'insulted']",0
453,"[u'The', u'last', u'3', u'times', u'I', u'had', u'lunch', u'here', u'has', u'been', u'bad']",0
454,"[u'The', u'chicken', u'wings', u'contained', u'the', u'driest', u'chicken', u'meat', u'I', u'have', u'ever', u'eaten']",0
455,"[u'The', u'food', u'was', u'very', u'good', u'and', u'I', u'enjoyed', u'every', u'mouthful', u'an', u'enjoyable', u'relaxed', u'venue', u'for', u'couples', u'small', u'family', u'groups', u'etc']",1
456,"[u'Nargile', u'I', u'think', u'you', u'are', u'great']",1
457,"[u'Best', u'tater', u'tots', u'in', u'the', u'southwest']",1
458,"[u'We', u'loved', u'the', u'place']",1
459,"[u'Definitely', u'not', u'worth', u'the', u'3', u'I', u'paid']",0
460,"[u'The', u'vanilla', u'ice', u'cream', u'was', u'creamy', u'and', u'smooth', u'while', u'the', u'profiterole', u'choux', u'pastry', u'was', u'fresh', u'enough']",1
461,"[u'Im', u'in', u'AZ', u'all', u'the', u'time', u'and', u'now', u'have', u'my', u'new', u'spot']",1
462,"[u'The', u'manager', u'was', u'the', u'worst']",0
463,"[u'The', u'inside', u'is', u'really', u'quite', u'nice', u'and', u'very', u'clean']",1
464,"[u'The', u'food', u'was', u'outstanding', u'and', u'the', u'prices', u'were', u'very', u'reasonable']",1
465,"[u'I', u'don', u't', u'think', u'I', u'll', u'be', u'running', u'back', u'to', u'Carly', u's', u'anytime', u'soon', u'for', u'food']",0
466,"[u'This', u'is', u'was', u'due', u'to', u'the', u'fact', u'that', u'it', u'took', u'20', u'minutes', u'to', u'be', u'acknowledged', u'then', u'another', u'35', u'minutes', u'to', u'get', u'our', u'food', u'and', u'they', u'kept', u'forgetting', u'things']",0
467,"[u'Love', u'the', u'margaritas', u'too']",1
468,"[u'This', u'was', u'my', u'first', u'and', u'only', u'Vegas', u'buffet', u'and', u'it', u'did', u'not', u'disappoint']",1
469,"[u'Very', u'good', u'though']",1
470,"[u'The', u'one', u'down', u'note', u'is', u'the', u'ventilation', u'could', u'use', u'some', u'upgrading']",0
471,"[u'Great', u'pork', u'sandwich']",1
472,"[u'Don', u't', u'waste', u'your', u'time', u'here']",0
473,"[u'Total', u'letdown', u'I', u'would', u'much', u'rather', u'just', u'go', u'to', u'the', u'Camelback', u'Flower', u'Shop', u'and', u'Cartel', u'Coffee']",0
474,"[u'Third', u'the', u'cheese', u'on', u'my', u'friend', u's', u'burger', u'was', u'cold']",0
475,"[u'We', u'enjoy', u'their', u'pizza', u'and', u'brunch']",1
476,"[u'The', u'steaks', u'are', u'all', u'well', u'trimmed', u'and', u'also', u'perfectly', u'cooked']",1
